code,menu,menu_vi,description,description_vi,chapter,section,keywords,keywords_vi
090112,Coffee,Cà Phê,Coffee not roasted decaffeinated,Cà phê chưa rang lọc caffeine,09,I,coffee;beverage;roasted;decaffeinated;caffeine;food,cà phê;đồ uống;rang;lọc caffeine;thực phẩm
090121,Coffee,Cà Phê,Coffee roasted not decaffeinated,Cà phê rang chưa lọc caffeine,09,I,coffee;beverage;roasted;decaffeinated;food,cà phê;đồ uống;rang;caffeine;thực phẩm
090122,Coffee,Cà Phê,Coffee roasted decaffeinated,Cà phê rang lọc caffeine,09,I,coffee;beverage;roasted;decaffeinated;caffeine;food,cà phê;đồ uống;rang;lọc caffeine;thực phẩm
100110,Cereals,Ngũ Cốc,Wheat not milled,Lúa mì chưa xay,10,I,cereal;wheat;grain;milled;food,ngũ cốc;lúa mì;hạt;xay;thực phẩm
100190,Cereals,Ngũ Cốc,Other cereals not milled,Ngũ cốc khác chưa xay,10,I,cereal;grain;milled;food,ngũ cốc;hạt;xay;thực phẩm
100210,Cereals,Ngũ Cốc,Wheat flour,Bột lúa mì,10,I,cereal;wheat;flour;milled;food,ngũ cốc;lúa mì;bột;xay;thực phẩm
100590,Cereals,Ngũ Cốc,Other cereal flour,Bột ngũ cốc khác,10,I,cereal;flour;milled;food,ngũ cốc;bột;xay;thực phẩm
110100,Cereal Products,Sản Phẩm Ngũ Cốc,Cereal groats flaked,Cơm hạt ngũ cốc tước vỏ,11,I,cereal;groats;flaked;food,ngũ cốc;cơm hạt;vỏ;thực phẩm
110210,Cereal Products,Sản Phẩm Ngũ Cốc,Malt not roasted,Malt chưa rang,11,I,malt;roasted;cereal;food,malt;rang;ngũ cốc;thực phẩm
110220,Cereal Products,Sản Phẩm Ngũ Cốc,Malt roasted,Malt rang,11,I,malt;roasted;cereal;food,malt;rang;ngũ cốc;thực phẩm
110812,Cereal Products,Sản Phẩm Ngũ Cốc,Starch from maize,Tinh bột từ ngô,11,I,starch;maize;corn;food,tinh bột;ngô;thực phẩm
120100,Oil Seeds,Hạt Dầu,Soy beans,Đậu tương,12,I,oil seed;soy;bean;food;agriculture,hạt dầu;đậu tương;thực phẩm;nông nghiệp
120210,Oil Seeds,Hạt Dầu,Ground nuts not roasted,Lạc chưa rang,12,I,oil seed;peanut;groundnut;roasted;food;agriculture,hạt dầu;lạc;rang;thực phẩm;nông nghiệp
120300,Oil Seeds,Hạt Dầu,Copra,Cơm dừa,12,I,oil seed;coconut;copra;food;agriculture,hạt dầu;dừa;cơm dừa;thực phẩm;nông nghiệp
120600,Oil Seeds,Hạt Dầu,Sunflower seeds,Hạt hướng dương,12,I,oil seed;sunflower;seed;food;agriculture,hạt dầu;hướng dương;hạt;thực phẩm;nông nghiệp
120700,Oil Seeds,Hạt Dầu,Oil seeds other,Hạt dầu khác,12,I,oil seed;seed;food;agriculture,hạt dầu;hạt;thực phẩm;nông nghiệp
130100,Lac,Sơn Tẩy,Shellac,Keo lạc,13,I,lac;shellac;resin;material;chemical,keo lạc;sơn tẩy;nhựa;nguyên liệu;hóa chất
130200,Lac,Sơn Tẩy,Vegetable saps and extracts,Dịch và chiết xuất thực vật,13,I,plant;sap;extract;chemical;material,thực vật;dịch;chiết xuất;hóa chất;nguyên liệu
140100,Fibers,Sợi,Vegetable fibers retting and fiber processing,Sợi thực vật ngâm nước và xử lý sợi,14,I,fiber;vegetable;raw;material;textile,sợi;thực vật;thô;nguyên liệu;dệt may
140200,Fibers,Sợi,Cotton not carded or combed,Bông không ghi hay chải,14,I,fiber;cotton;carded;textile;material,sợi;bông;ghi;dệt may;nguyên liệu
140300,Fibers,Sợi,Other vegetable fibers not carded,Sợi thực vật khác không ghi,14,I,fiber;vegetable;carded;textile;material,sợi;thực vật;ghi;dệt may;nguyên liệu
150110,Animal Fats,Chất Béo Động Vật,Pig fat rendered,Chất béo lợn được nấu chảy,15,I,fat;animal;rendered;food;oil,chất béo;động vật;nấu chảy;thực phẩm;dầu
150120,Animal Fats,Chất Béo Động Vật,Poultry fat rendered,Chất béo gia cầm được nấu chảy,15,I,fat;animal;poultry;rendered;food;oil,chất béo;động vật;gia cầm;nấu chảy;thực phẩm;dầu
150130,Animal Fats,Chất Béo Động Vật,Beef fat rendered,Chất béo bò được nấu chảy,15,I,fat;animal;beef;rendered;food;oil,chất béo;động vật;bò;nấu chảy;thực phẩm;dầu
150210,Plant Oils,Dầu Thực Vật,Soy oil,Dầu đậu tương,15,I,oil;vegetable;soy;food;cooking,dầu;thực vật;đậu tương;thực phẩm;nấu ăn
150220,Plant Oils,Dầu Thực Vật,Peanut oil,Dầu lạc,15,I,oil;vegetable;peanut;food;cooking,dầu;thực vật;lạc;thực phẩm;nấu ăn
160100,Meat Preparations,Chế Phẩm Thịt,Sausages and similar meat products,Xúc xích và các sản phẩm thịt tương tự,16,I,meat;sausage;preparation;food;processed,thịt;xúc xích;chế phẩm;thực phẩm;chế biến
160210,Meat Preparations,Chế Phẩm Thịt,Meat and offal cooked prepared,Thịt và phụ tạng nấu chín chế biến,16,I,meat;cooked;preparation;food;processed,thịt;nấu chín;chế phẩm;thực phẩm;chế biến
170110,Sugar,Đường,Cane sugar raw,Đường mía thô,17,I,sugar;cane;raw;food;sweetener,đường;mía;thô;thực phẩm;làm ngọt
170191,Sugar,Đường,Cane sugar refined,Đường mía tinh luyện,17,I,sugar;cane;refined;food;sweetener,đường;mía;tinh luyện;thực phẩm;làm ngọt
170210,Sugar,Đường,Beet sugar,Đường từ cây cần tây đường,17,I,sugar;beet;refined;food;sweetener,đường;cây cần tây đường;tinh luyện;thực phẩm;làm ngọt
170220,Sugar,Đường,Beet sugar refined,Đường từ cây cần tây đường tinh luyện,17,I,sugar;beet;refined;food;sweetener,đường;cây cần tây đường;tinh luyện;thực phẩm;làm ngọt
180100,Cocoa,Cacao,Cocoa beans fermented dried,Hạt cacao lên men sấy khô,18,I,cocoa;bean;fermented;dried;food;chocolate,cacao;hạt;lên men;sấy khô;thực phẩm;chocolate
180200,Cocoa,Cacao,Cocoa shells husks waste,Vỏ hạt cacao thải bỏ,18,I,cocoa;shell;husk;waste;food,cacao;vỏ;hạt;thải bỏ;thực phẩm
180300,Cocoa,Cacao,Cocoa paste unreduced cocoa solids,Mủ cacao không khử béo cacao rắn,18,I,cocoa;paste;solids;food;chocolate,cacao;mủ;rắn;thực phẩm;chocolate
180400,Cocoa,Cacao,Cocoa butter fat,Bơ cacao chất béo,18,I,cocoa;butter;fat;food;chocolate,cacao;bơ;chất béo;thực phẩm;chocolate
180500,Cocoa,Cacao,Cocoa powder not containing sugar,Bột cacao không có đường,18,I,cocoa;powder;sugar;food;chocolate,cacao;bột;đường;thực phẩm;chocolate
190110,Cereals Preparations,Cháo Ngũ Cốc,Malt extract,Chiết xuất malt,19,I,cereal;malt;extract;food;beverage,ngũ cốc;malt;chiết xuất;thực phẩm;đồ uống
190190,Cereals Preparations,Cháo Ngũ Cốc,Cereal flours and meals,Bột và cơm ngũ cốc,19,I,cereal;flour;meal;food,ngũ cốc;bột;cơm;thực phẩm
190211,Cereals Preparations,Cháo Ngũ Cốc,Pasta uncooked without eggs,Mì ống chưa nấu không có trứng,19,I,pasta;noodle;uncooked;food,mì ống;mì;chưa nấu;thực phẩm
190212,Cereals Preparations,Cháo Ngũ Cốc,Pasta uncooked with eggs,Mì ống chưa nấu có trứng,19,I,pasta;noodle;egg;uncooked;food,mì ống;mì;trứng;chưa nấu;thực phẩm
190219,Cereals Preparations,Cháo Ngũ Cốc,Pasta other uncooked,Mì ống khác chưa nấu,19,I,pasta;noodle;uncooked;food,mì ống;mì;chưa nấu;thực phẩm
190220,Cereals Preparations,Cháo Ngũ Cốc,Pasta cooked,Mì ống nấu chín,19,I,pasta;noodle;cooked;food,mì ống;mì;nấu chín;thực phẩm
190230,Cereals Preparations,Cháo Ngũ Cốc,Couscous,Cơm lúa mạch,19,I,cereal;couscous;grain;food,ngũ cốc;cơm lúa mạch;hạt;thực phẩm
200110,Fruit Vegetables,Trái Cây Rau Quả,Cucumbers gherkins prepared preserved,Dưa chuột cornichon chế biến bảo quản,20,I,vegetable;cucumber;gherkin;preserved;food,rau quả;dưa chuột;tỏi;chế biến;bảo quản;thực phẩm
200190,Fruit Vegetables,Trái Cây Rau Quả,Vegetables prepared preserved other,Rau quả khác chế biến bảo quản,20,I,vegetable;preserved;food,rau quả;chế biến;bảo quản;thực phẩm
200510,Fruit Vegetables,Trái Cây Rau Quả,Olives prepared preserved,Ô liu chế biến bảo quản,20,I,olive;fruit;preserved;food,ô liu;trái cây;chế biến;bảo quản;thực phẩm
200810,Fruit Vegetables,Trái Cây Rau Quả,Fruits nuts cooked prepared,Trái cây hạt nấu chín chế biến,20,I,fruit;nut;cooked;prepared;food,trái cây;hạt;nấu chín;chế biến;thực phẩm
